Categoria;Prueba;Marca;Año;Competencia;Nombre Atleta
Escolar Femenino;Salto Alto;1.30;2024;Nacional Escolar;Agustina Tapia
Escolar Femenino;Salto Alto;1.30;2024;Nacional Escolar;Emilia Polanco
Escolar Masculino;Salto Largo;5.75;2025;Nacional Escolar;Pedro Noveda
Escolar Masculino;Salto Largo;5.64;2025;Nacional Escolar;Marcelo Meneses
Escolar Masculino;Salto Largo;5.63;2025;Nacional Escolar;Castiel Cortes
Escolar Masculino;Salto Largo;5.58;2025;Nacional Escolar;Alonso Hormazabal
Escolar Masculino;Salto Largo;5.57;2025;Nacional Escolar;Agustin Diaz
Escolar Masculino;Salto Largo;5.38;2025;Nacional Escolar;Daniel Rodriguez
Escolar Masculino;Salto Largo;5.28;2025;Nacional Escolar;Felipe Bolados
Escolar Masculino;Salto Largo;5.25;2025;Nacional Escolar;Nicolas Lucumi
Escolar Masculino;Salto Garrocha;3.40;2025;Nacional Escolar;Fernando Urrutia
Escolar Masculino;Salto Garrocha;3.40;2025;Nacional Escolar;Manuel Guerrero
Escolar Masculino;Salto Garrocha;2.70;2025;Nacional Escolar;Emilio Soto
Escolar Masculino;Salto Garrocha;2.20;2025;Nacional Escolar;Damian Casanueva
Escolar Masculino;Salto Alto;1.69;2025;Nacional Escolar;Alonso Hormazabal
Escolar Masculino;Salto Alto;1.69;2025;Nacional Escolar;Cristian Castillo
Escolar Masculino;Salto Alto;1.66;2025;Nacional Escolar;Martin Zapata
Escolar Masculino;Salto Alto;1.63;2025;Nacional Escolar;Martin Contreras
Escolar Masculino;Salto Alto;1.60;2025;Nacional Escolar;Joseph Vallejos
Escolar Masculino;Salto Alto;1.50;2025;Nacional Escolar;Renato Esparza
Escolar Masculino;Salto Alto;1.50;2025;Nacional Escolar;Tomas Rosselot
Escolar Masculino;Salto Alto;1.50;2025;Nacional Escolar;Maximiliano Negrete
Escolar Femenino;Salto Largo;5.06;2025;Nacional Escolar;Josefa Gallardo
Escolar Femenino;Salto Largo;5.02;2025;Nacional Escolar;Trinidad Croqueville
Escolar Femenino;Salto Largo;4.83;2025;Nacional Escolar;Laura Montupil
Escolar Femenino;Salto Largo;4.78;2025;Nacional Escolar;Pascuala Leon
Escolar Femenino;Salto Largo;4.59;2025;Nacional Escolar;Antonella Villavicencio
Escolar Femenino;Salto Largo;4.58;2025;Nacional Escolar;Maite Zamora
Escolar Femenino;Salto Largo;4.39;2025;Nacional Escolar;Florencia Montaño
Escolar Femenino;Salto Largo;4.36;2025;Nacional Escolar;Florencia Carvajal
Escolar Femenino;Salto Garrocha;3.00;2025;Nacional Escolar;Margarita Kaltwasser
Escolar Femenino;Salto Garrocha;2.70;2025;Nacional Escolar;Laurona Kwon
Escolar Femenino;Salto Garrocha;2.30;2025;Nacional Escolar;Antonia Inda
Escolar Femenino;Salto Garrocha;2.30;2025;Nacional Escolar;Mariana Sepulveda
Escolar Femenino;Salto Garrocha;2.20;2025;Nacional Escolar;Isidora Rivera
Escolar Femenino;Salto Alto;1.61;2025;Nacional Escolar;Luciana Caroni
Escolar Femenino;Salto Alto;1.51;2025;Nacional Escolar;Dominga Ruiz
Escolar Femenino;Salto Alto;1.51;2025;Nacional Escolar;Francesca castillo
Escolar Femenino;Salto Alto;1.48;2025;Nacional Escolar;Florencia Manriquez
Escolar Femenino;Salto Alto;1.45;2025;Nacional Escolar;Gracia Martinez
Escolar Femenino;Salto Alto;1.40;2025;Nacional Escolar;Antonia Adriazola
Escolar Femenino;Salto Alto;1.40;2025;Nacional Escolar;Camila Mitre
Escolar Femenino;Salto Alto;1.30;2025;Nacional Escolar;Amalia Toro
Adulto Masculino;Salto Largo;7.58;2023;Nacional Adulto;Vicente Belgeri
Adulto Masculino;Salto Largo;7.32;2023;Nacional Adulto;Matias Gonzalez
Adulto Masculino;Salto Largo;7.12;2023;Nacional Adulto;Camilo Olivares
Adulto Masculino;Salto Largo;7.11;2023;Nacional Adulto;Marcelo Burgos
Adulto Masculino;Salto Largo;7.09;2023;Nacional Adulto;Diego Bustamente
Adulto Masculino;Salto Largo;7.07;2023;Nacional Adulto;Andres Silva
Adulto Masculino;Salto Largo;6.81;2023;Nacional Adulto;Benjamin Alcayaga
Adulto Masculino;Salto Largo;6.57;2023;Nacional Adulto;Cristobal Alonso
Adulto Masculino;Salto Garrocha;5.25;2023;Nacional Adulto;Guillermo Correa
Adulto Masculino;Salto Garrocha;5.00;2023;Nacional Adulto;Daniel Zupeuc
Adulto Masculino;Salto Garrocha;5.00;2023;Nacional Adulto;Pedro Roblero
Adulto Masculino;Salto Garrocha;4.80;2023;Nacional Adulto;Cristobal Nuñez
Adulto Masculino;Salto Garrocha;4.70;2023;Nacional Adulto;Diego Mir
Adulto Masculino;Salto Garrocha;4.60;2023;Nacional Adulto;Francisco Benavides
Adulto Masculino;Salto Garrocha;4.50;2023;Nacional Adulto;Nicolas Martin
Adulto Masculino;Salto Garrocha;4.40;2023;Nacional Adulto;Jaime Wood
Adulto Masculino;Salto Alto;2.19;2023;Nacional Adulto;Pedro Alamos
Adulto Masculino;Salto Alto;2.16;2023;Nacional Adulto;Nicolas Numair
