Categoria,Prueba,Marca,Año,Competencia,Nombre Atleta,
Adulto Masculino,800m,1.48.36,2019,Sudamericano Adulto,Alejandro Peirano,
Adulto Masculino,800m,1.57.97,2019,Sudamericano Adulto,Rafael Muñoz,
Adulto Femenino,800m,2.10.48,2019,Sudamericano Adulto,Berdine Castillo,
Adulto Masculino,Lanzamiento Jabalina,75.97,2019,Sudamericano Adulto,Francisco Muse,
Adulto Femenino,Lanzamiento Jabalina,49.16,2019,Sudamericano Adulto,María Paz Ríos,
Adulto Masculino,Lanzamiento Bala,15.68,2019,Sudamericano Adulto,Rodrigo Cárdenas,
Adulto Femenino,Lanzamiento Bala,16.77,2019,Sudamericano Adulto,Ivanna Gallardo,
Adulto Masculino,Lanzamiento Disco,54.31,2019,Sudamericano Adulto,Claudio Romero,
Adulto Femenino,Lanzamiento Disco,55.09,2019,Sudamericano Adulto,Karen Gallardo,
Adulto Masculino,Lanzamiento Martillo,75.27,2019,Sudamericano Adulto,Gabriel Kehr,
Adulto Masculino,Lanzamiento Martillo,73,2019,Sudamericano Adulto,Humberto Mansilla,
Adulto Femenino,Lanzamiento Martillo,63.27,2019,Sudamericano Adulto,Mariana García,
Adulto Masculino,Salto Largo,7.29,2019,Sudamericano Adulto,Daniel Pineda,
Adulto Femenino,Salto Largo,6.36,2019,Sudamericano Adulto,Macarena Reyes,
Adulto Femenino,800m,2.09.44,2021,Sudamericano Adulto,Berdine Castillo,
Adulto Femenino,800m,2.13.92,2021,Sudamericano Adulto,Josefa Quezada,
Adulto Masculino,Lanzamiento Jabalina,70.53,2021,Sudamericano Adulto,Francisco Muse,
Adulto Femenino,Lanzamiento Jabalina,49.78,2021,Sudamericano Adulto,María Paz Ríos,
Adulto Masculino,Lanzamiento Bala,18.1,2021,Sudamericano Adulto,José Miguel Ballivian,
Adulto Femenino,Lanzamiento Bala,16.94,2021,Sudamericano Adulto,Ivanna Gallardo,
Adulto Masculino,Lanzamiento Disco,63.18,2021,Sudamericano Adulto,Lucas Nervi,
Adulto Femenino,Lanzamiento Disco,59.72,2021,Sudamericano Adulto,Karen Gallardo,
Adulto Masculino,Lanzamiento Martillo,75.83,2021,Sudamericano Adulto,Humberto Mansilla,
Adulto Masculino,Lanzamiento Martillo,75.18,2021,Sudamericano Adulto,Gabriel Kehr,
Adulto Femenino,Lanzamiento Martillo,63.2,2021,Sudamericano Adulto,Mariana García,
Adulto Masculino,Salto Largo,7.62,2021,Sudamericano Adulto,Daniel Pineda,
Adulto Femenino,Salto Largo,6.28,2021,Sudamericano Adulto,Macarena Reyes,
Adulto Femenino,Salto Largo,6.06,2021,Sudamericano Adulto,Trinidad Hurtado,
Adulto Femenino,Salto Alto,1.71,2021,Sudamericano Adulto,Catalina Ossa,
Adulto Masculino,Salto Garrocha,5,2021,Sudamericano Adulto,Guillermo Correa,
Adulto Femenino,Salto Garrocha,3.7,2021,Sudamericano Adulto,Antonia Crestani,
Adulto Femenino,800m,2.04.16,2023,Sudamericano Adulto,Berdine Castillo,
Adulto Masculino,800m,1.47.27,2023,Sudamericano Adulto,Rafael Muñoz,
Adulto Masculino,800m,1.49.01,2023,Sudamericano Adulto,Fernando Arévalo,
Adulto Femenino,Salto Largo,6.07,2023,Sudamericano Adulto,Rocío Muñoz,
Adulto Masculino,Salto Largo,7.62,2023,Sudamericano Adulto,Vicente Belgeri,
